,artist,song,genres,year,key,mode,duration,bpm
5636,David Bowie,Panic in Detroit,Rock,1973,,,,
5637,The Clash,Spanish Bombs,Rock,1979,A,major,3:19,149BPM
5638,Dr. Feelgood,She Does It Right,Rock,1975,C,major,3:26,167BPM
5639,Blondie,X-Offender,Rock,1976,E,major,3:24,158BPM
5640,Public Image Ltd.,Poptones,Rock,1979,A,major,7:50,132BPM
5641,Simon and Garfunkel,El condor pasa (If I Could),Pop,1970,,,,
5642,Sweet,Blockbuster,Rock,1973,E,major,3:23,124BPM
5643,The Clash,Stay Free,Rock,1978,G,major,3:41,151BPM
5644,The Jam,The Modern World,Rock,1977,B,minor,2:33,159BPM
5645,Iggy Pop,China Girl,Rock,1977,D♯/E♭,minor,5:08,124BPM
5646,Nick Drake,Hazey Jane II,Rock,1971,A♯/B♭,major,3:46,150BPM
5647,"Crosby, Stills, Nash & Young",Carry On,Rock,1970,,,,
5648,Rainbow,Stargazer,Rock,1976,B,minor,8:26,177BPM
5649,Led Zeppelin,The Ocean,Rock,1973,A,major,4:31,88BPM
5650,The Byrds,Chestnut Mare,Rock,1970,D,major,5:08,122BPM
5651,The Who,The Real Me,Rock,1973,F,minor,3:21,149BPM
5652,Jimi Hendrix,Machine Gun,Rock,1970,,,,
5653,Lou Reed,Caroline Says I,Rock,1973,F,major,3:57,123BPM
5654,X-Ray Spex,Identity,Rock,1978,D,major,2:26,155BPM
5655,Bruce Springsteen,Candy's Room,Rock,1978,,,,
5656,King Crimson,Starless,Rock,1974,G,minor,12:15,126BPM
5657,Mekons,Where Were You?,Rock,1978,A,major,2:51,156BPM
5658,Amii Stewart,Knock on Wood,Dance,1979,D,major,4:11,141BPM
5659,Eagles,Tequila Sunrise,Rock,1973,G,major,3:28,107BPM
5660,Umberto Tozzi,Gloria,Pop,1979,E,major,4:23,132BPM
5661,Edison Lighthouse,Love Grows (Where My Rosemary Goes),Pop,1970,A,major,2:34,118BPM
5662,X-Ray Spex,The Day the World Turned Day-Glo,Rock,1978,A,major,2:54,150BPM
5663,Magazine,The Light Pours Out of Me,Rock,1978,A,major,4:18,139BPM
5664,Wings,Mull of Kintyre,Pop,1977,D,major,4:45,92BPM
5665,David Bowie,Diamond Dogs,Rock,1974,,,,
5666,ABBA,Fernando,Pop,1976,A,major,4:15,111BPM
5667,The Rolling Stones,Loving Cup,Rock,1972,G,major,4:24,157BPM
5668,Led Zeppelin,The Song Remains the Same,Rock,1973,G,major,5:29,145BPM
5669,Michel Fugain,Une belle histoire,Pop,1972,A,minor,3:18,83BPM
5670,Maria Muldaur,Midnight at the Oasis,Pop,1973,C♯/D♭,major,3:50,99BPM
5671,Little Feat,Dixie Chicken,Rock,1973,A,major,3:59,150BPM
5672,Candido,Jingo,Dance,1979,F,major,9:11,121BPM
5673,Bob Dylan & The Band,This Wheel's on Fire,Rock,1975,,,,
5674,Daddy Cool,Eagle Rock,Rock,1971,D,major,4:11,125BPM
5675,Bonnie Raitt,Love Has No Pride,Rock,1972,,,,
5676,Joy Division,New Dawn Fades,Rock,1979,D,major,4:41,151BPM
5677,Motörhead,Bomber,Rock,1979,G♯/A♭,major,3:40,106BPM
5678,Machine,There But for the Grace of God Go I,Dance,1979,B,minor,4:09,127BPM
5679,Roxy Music,Pyjamarama,Rock,1973,D♯/E♭,major,3:00,127BPM
5680,Ray Price,For the Good Times,Pop,1970,D♯/E♭,major,3:48,83BPM
5681,Can,Moonshake,Rock,1973,A,major,3:06,146BPM
5682,Lou Reed,Vicious,Rock,1972,D,major,2:56,124BPM
5683,Bad Company,Ready For Love,Rock,1974,G,major,8:08,117BPM
5684,Chicago,25 or 6 to 4,Rock,1970,G,major,4:52,147BPM
5685,George Benson,This Masquerade,Pop,1976,C,minor,3:17,90BPM
5686,Pink Floyd,Brain Damage,Rock,1973,D,major,3:47,134BPM
5687,Serge Gainsbourg,Je suis venu te dire que je m'en vais,Pop,1973,,,,
5688,The Allman Brothers Band,Statesboro Blues,Rock,1971,D,major,5:22,121BPM
5689,James Taylor,Handy Man,Pop,1977,D,major,3:17,91BPM
5690,ABBA,"Money, Money, Money",Pop,1976,A,minor,3:07,120BPM
5691,Supertramp,Dreamer,Pop,1974,F,major,3:33,148BPM
5692,Sui Generis,Canción para mi muerte,Rock,1972,C,major,3:36,131BPM
5693,Dawn feat. Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,Pop,1973,,,,
5694,Neil Young & Crazy Horse,Pocahontas,Rock,1979,,,,
5695,Deep Purple,Speed King,Rock,1970,F,major,4:24,100BPM
5696,Crazy Horse,I Don't Want to Talk About It,Rock,1971,,,,
5697,Neu!,Isi,Rock,1975,,,,
5698,James Gang,Funk #49,Rock,1970,,,,
5699,Fleetwood Mac,The Green Manalishi (With the Two Prong Crown),Rock,1970,,,,
5700,Bob Dylan,"Lily, Rosemary and the Jack of Hearts",Rock,1975,D,major,8:51,126BPM
5701,Ramones,Beat on the Brat,Rock,1976,E,major,2:32,157BPM
5702,Joe Walsh,Rocky Mountain Way,Rock,1973,E,major,5:15,86BPM
5703,Adriano Celentano,Prisencólinensináinciúsol,Rock,1973,E,minor,3:14,135BPM
5704,Melanie,Lay Down (Candles in the Rain),Pop,1970,G,major,7:40,94BPM
5705,Outlaws,Green Grass and High Tides,Rock,1975,,,,
5706,David Bowie,All the Young Dudes,Rock,1974,F,major,3:09,75BPM
5707,Joni Mitchell,"You Turn Me On, I'm a Radio",Pop,1972,,,,
5708,Dan Hartman,Relight My Fire,Dance,1979,,,,
5709,Gram Parsons,She,Rock,1973,A♯/B♭,major,4:57,110BPM
5710,Silver Convention,"Fly, Robin, Fly",Dance,1975,C,minor,3:51,100BPM
5711,Spoonie Gee,Spoonin Rap,Hip Hop,1979,C♯/D♭,major,6:44,98BPM
5712,The Partridge Family,I Think I Love You,Pop,1970,D♯/E♭,major,2:55,205BPM
5713,Free,Wishing Well,Rock,1972,A,minor,3:43,122BPM
5714,Bruce Springsteen,Spirit in the Night,Rock,1973,E,minor,4:58,125BPM
5715,Pink Floyd,One of These Days,Rock,1971,E,major,5:15,105BPM
5716,Cher,"Gypsys, Tramps and Thieves",Pop,1971,,,,
5717,"Emerson, Lake & Palmer",Lucky Man,Rock,1970,,,,
5718,Melanie,Brand New Key,Pop,1971,C♯/D♭,major,2:25,84BPM
5719,Supertramp,Bloody Well Right,Rock,1974,C,minor,4:32,76BPM
5720,Neu!,Neuschnee,Rock,1972,,,,
5721,Aerosmith,Mama Kin,Rock,1973,B,minor,3:56,147BPM
5722,Queen,Keep Yourself Alive,Rock,1973,A,major,3:48,135BPM
5723,Freddy Fender,Before the Next Teardrop Falls,Pop,1974,A♯/B♭,major,2:30,92BPM
5724,Pacific Gas & Electric,Are You Ready?,Rock,1970,,,,
5725,X,We're Desperate,Rock,1978,,,,
5726,Bob Dylan,Changing of the Guards,Rock,1978,F,minor,6:36,124BPM
5727,Yes,Heart of the Sunrise,Rock,1971,C♯/D♭,major,10:38,146BPM
5728,Talking Heads,The Big Country,Rock,1978,A♯/B♭,major,5:31,111BPM
5729,Elvis Presley,An American Trilogy,Pop,1972,C,major,4:28,80BPM
5730,Ramones,Teenage Lobotomy,Rock,1977,A,major,1:55,197BPM
5731,Queen,Now I'm Here,Rock,1974,,,,
5732,Queen,Death on Two Legs (Dedicated to),Rock,1975,D,major,3:43,125BPM
5733,The Saints,Know Your Product,Rock,1978,F,minor,3:14,150BPM
5734,The Marshall Tucker Band,Heard It in a Love Song,Rock,1977,D,major,4:56,153BPM
5735,Joni Mitchell,The Hissing of Summer Lawns,Pop,1975,C,major,3:01,143BPM
5736,Joy Division,Warsaw,Rock,1978,E,minor,2:48,82BPM
5737,Stiff Little Fingers,Suspect Device,Rock,1978,E,major,4:47,103BPM
5738,Led Zeppelin,Ten Years Gone,Rock,1975,D,major,6:35,77BPM
5739,Johnny Mandel,Suicide Is Painless (Theme from M*A*S*H),Pop,1970,,,,
5740,The Andrea True Connection,"More, More, More",Dance,1976,,,,
5741,Renaud,Hexagone,Rock,1975,D,major,5:32,125BPM
5742,Rod Stewart,Every Picture Tells a Story,Rock,1971,G,major,6:00,144BPM
5743,"Emerson, Lake & Palmer",Fanfare for the Common Man,Rock,1977,,,,
5744,Conway Twitty,Hello Darlin',Pop,1970,C,major,2:26,83BPM
5745,John Denver,Rocky Mountain High,Pop,1972,E,major,4:47,82BPM
5746,Talking Heads,Heaven,Rock,1979,G,major,4:01,107BPM
5747,Orchestral Manoeuvres in the Dark,Electricity,Pop,1979,A,minor,3:32,81BPM
5748,Joe Dassin,L'été Indien,Pop,1975,,,,
5749,Patti Smith,Break It Up,Rock,1975,B,minor,4:03,144BPM
5750,Lynyrd Skynyrd,Gimme Three Steps,Rock,1973,A,major,4:30,133BPM
5751,The Rolling Stones,Torn and Frayed,Rock,1972,D,major,4:17,91BPM
5752,Village People,In the Navy,Dance,1979,G,minor,3:44,126BPM
5753,Paul McCartney and Wings,Let Me Roll It,Rock,1973,,,,
5754,The Walker Brothers,The Electrician,Rock,1978,D,major,6:01,139BPM
5755,Amazing Rhythm Aces,Third Rate Romance,Rock,1975,A,major,4:00,124BPM
5756,ZZ Top,Cheap Sunglasses,Rock,1979,F,minor,4:48,94BPM
5757,The Clash,Tommy Gun,Rock,1978,A,major,3:17,162BPM
5758,Dave Edmunds,I Hear You Knocking,Rock,1970,F♯/G♭,minor,2:48,206BPM
5759,Cerrone,Love In C Minor,Dance,1976,G,minor,16:15,127BPM
5760,Uriah Heep,Easy Livin',Rock,1972,A,minor,2:37,161BPM
5761,Bob Dylan,Gotta Serve Somebody,Rock,1979,G,major,5:25,95BPM
5762,Albert Hammond,It Never Rains in Southern California,Pop,1972,A,major,3:54,117BPM
5763,Can,Future Days,Rock,1973,G,minor,9:30,148BPM
5764,Demics,New York City,Rock,1979,,,,
5765,Bee Gees,Tragedy,Dance,1979,D,major,5:03,118BPM
5766,The Rolling Stones,Let It Loose,Rock,1972,F,major,5:17,76BPM
5767,Johnnie Allan,Promised Land,Rock,1971,C,major,2:04,172BPM
5768,UFO,Doctor Doctor,Rock,1974,F,major,2:48,141BPM
5769,Blue Öyster Cult,Godzilla,Rock,1977,E,major,3:41,184BPM
5770,Bob Dylan,One More Cup of Coffee,Rock,1976,A,minor,3:45,139BPM
5771,Roxy Music,Re-make / Re-model,Rock,1972,,,,
5772,Premiata Forneria Marconi,Impressioni di settembre,Rock,1971,C,major,5:44,142BPM
5773,The Jam,All Around the World,Rock,1977,D,major,2:22,152BPM
5774,Genesis,The Musical Box,Rock,1971,F♯/G♭,minor,10:29,147BPM
5775,Alain Souchon,Allo Maman Bobo,Pop,1977,,,,
5776,Journey,Wheel in the Sky,Rock,1978,D,minor,4:12,105BPM
5777,Bob Dylan,Señor (Tales of Yankee Power),Rock,1978,A,minor,5:40,136BPM
5778,Rush,Closer to the Heart,Rock,1977,D,major,2:53,145BPM
5779,Mott the Hoople,The Golden Age of Rock 'n' Roll,Rock,1974,F♯/G♭,major,3:24,138BPM
5780,Argent,Hold Your Head Up,Rock,1971,G,major,6:17,89BPM
5781,"Emerson, Lake & Palmer",Karn Evil 9,Rock,1973,,,,
5782,Roxy Music,Mother of Pearl,Rock,1973,,,,
5783,Blondie,Rip Her to Shreds,Rock,1976,,,,
5784,Julien Clerc,Ma préférence,Pop,1978,C♯/D♭,major,3:27,98BPM
5785,La Revolución De Emiliano Zapata,Nasty Sex,Rock,1970,,,,
5786,Nilsson,Jump Into the Fire,Rock,1971,,,,
5787,Grand Funk Railroad,I'm Your Captain (Closer to Home),Rock,1970,,,,
5788,Charley Pride,Kiss An Angel Good Mornin',Pop,1971,E,major,2:02,131BPM
5789,Melanie,What Have They Done to My Song Ma,Pop,1970,A♯/B♭,major,4:12,141BPM
5790,Joni Mitchell,California,Pop,1971,E,major,3:50,71BPM
5791,Crosby & Nash,To the Last Whale / Wind on the Water,Rock,1975,,,,
5792,The Tubes,White Punks on Dope,Rock,1975,D,major,6:47,133BPM
5793,Van Halen,Eruption,Rock,1978,G♯/A♭,major,1:43,80BPM
5794,Patty Pravo,Pensiero stupendo,Pop,1978,A♯/B♭,major,4:15,92BPM
5795,The Clash,Clampdown,Rock,1979,D,major,3:49,145BPM
5796,The Who,The Seeker,Rock,1970,D,major,3:06,92BPM
5797,The Stranglers,(Get a) Grip (On Yourself),Rock,1977,C,major,4:04,142BPM
5798,Herb Alpert,Rise,Dance,1979,A♯/B♭,major,7:37,99BPM
5799,Bob Dylan,Sara,Rock,1976,E,minor,5:31,156BPM
5800,Led Zeppelin,Nobody's Fault But Mine,Rock,1976,,,,
5801,Black Sabbath,Sweet Leaf,Rock,1971,,,,
5802,Bruce Springsteen,Adam Raised a Cain,Rock,1978,E,minor,4:32,95BPM
5803,Led Zeppelin,Houses of the Holy,Rock,1975,A,major,4:02,123BPM
5804,Eddie and The Hot Rods,Teenage Depression,Rock,1976,,,,
5805,Jethro Tull,Thick as a Brick,Rock,1972,,,,
5806,Bruce Springsteen,For You,Rock,1973,F,major,4:39,137BPM
5807,Richard and Linda Thompson,The Calvary Cross,Rock,1974,,,,
5808,John Cale,Child's Christmas in Wales,Pop,1973,,,,
5809,Led Zeppelin,Tangerine,Rock,1970,F♯/G♭,major,3:10,90BPM
5810,The Osmonds,One Bad Apple (Don't Spoil the Whole Bunch),Pop,1970,,,,
5811,Python Lee Jackson Feat. Rod Stewart,In a Broken Dream,Rock,1970,,,,
5812,The Stooges,T.V. Eye,Rock,1970,,,,
5813,Bad Company,Bad Company,Rock,1974,G♯/A♭,major,5:48,113BPM
5814,The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),Pop,1971,,,,
5815,The Marshall Tucker Band,Can't You See,Rock,1973,,,,
5816,Gram Parsons,A Song for You,Rock,1973,A,major,5:00,98BPM
5817,AC/DC,Jailbreak,Rock,1976,,,,
5818,Rush,2112,Rock,1976,,,,
5819,Brotherhood of Man,Save Your Kisses For Me,Pop,1976,G,major,3:05,185BPM
5820,David Soul,Don't Give Up on Us,Pop,1976,,,,
5821,The Rolling Stones,Star Star,Rock,1973,,,,
5822,Ian Dury,Plaistow Patricia,Rock,1977,,,,
5823,Montrose,Rock Candy,Rock,1973,A,major,5:05,80BPM
5824,Tanya Tucker,Delta Dawn,Pop,1972,F,major,3:24,76BPM
5825,GQ,Disco Nights (Rock-Freak),Dance,1979,,,,
5826,Ian Dury and The Blockheads,What a Waste,Rock,1978,,,,
5827,Patrick Hernandez,Born To Be Alive,Dance,1979,D,major,3:46,133BPM
5828,MC5,Sister Anne,Rock,1971,,,,
5829,Grateful Dead,Sugar Magnolia,Rock,1970,C♯/D♭,minor,3:19,154BPM
5830,Sugarloaf,Green-Eyed Lady,Rock,1970,G,major,3:40,149BPM
5831,Barry Manilow,Could It Be Magic,Pop,1973,C,minor,6:49,123BPM
5832,Nina Hagen Band,Unbeschreiblich weiblich,Rock,1978,,,,
5833,Tom Robinson Band,2-4-6-8 Motorway,Rock,1977,A,major,3:18,125BPM
5834,Barry Manilow,I Write the Songs,Pop,1975,D♯/E♭,major,3:59,149BPM
5835,Eddy Mitchell,La dernière séance,Pop,1977,D♯/E♭,major,3:33,78BPM
5836,Ian Dury,Wake Up and Make Love with Me,Rock,1977,C♯/D♭,major,4:26,124BPM
5837,The Beach Boys,Feel Flows,Pop,1971,,,,
5838,Bette Midler,The Rose,Pop,1979,C,major,3:41,134BPM
5839,Kate Bush,Moving,Pop,1978,D,minor,3:02,127BPM
5840,The Stooges,Down on the Street,Rock,1970,D,major,3:43,131BPM
5841,Lou Reed,Caroline Says II,Rock,1973,C,major,4:14,140BPM
5842,The Sensational Alex Harvey Band,Next,Rock,1973,D,major,4:03,108BPM
5843,Triana,En el lago,Rock,1975,D,minor,6:35,135BPM
5844,The Allman Brothers Band,Ain't Wastin' Time No More,Rock,1972,,,,
5845,Jackson Browne,The Load Out,Rock,1977,G,major,5:36,105BPM
5846,The DeFranco Family,"Heartbeat, It's a Lovebeat",Pop,1973,,,,
5847,Dr. Feelgood,Roxette,Rock,1974,C,major,2:59,123BPM
5848,Foreigner,Cold As Ice,Rock,1977,D♯/E♭,minor,3:20,131BPM
5849,Ramones,Judy Is a Punk,Rock,1976,D♯/E♭,major,1:32,180BPM
5850,Slade,Gudbuy T'Jane,Rock,1972,,,,
5851,Yes,And You and I,Rock,1972,,,,
5852,Neil Young,When You Dance I Can Really Love,Rock,1970,C,major,3:46,99BPM
5853,The Band,Acadian Driftwood,Rock,1975,F,major,6:44,79BPM
5854,Gene Clark,No Other,Rock,1974,D,major,5:09,97BPM
5855,Daniel Balavoine,Le Chanteur,Pop,1978,A,major,3:53,125BPM
5856,Bruce Springsteen,Blinded by the Light,Rock,1973,E,major,5:04,128BPM
5857,Aerosmith,Back in the Saddle,Rock,1976,C♯/D♭,major,4:40,122BPM
5858,The Heartbreakers,Born to Lose,Rock,1977,,,,
5859,David Bowie,Andy Warhol,Rock,1971,,,,
5860,Patti Smith,Hey Joe (Version),Rock,1974,,,,
5861,Deep Purple,Woman from Tokyo,Rock,1973,G,major,5:33,126BPM
5862,Neil Young,Walk On,Rock,1974,A,major,2:42,171BPM
5863,The Who,Young Man Blues,Rock,1970,A,major,6:07,174BPM
5864,Status Quo,Caroline,Rock,1973,F,major,3:44,77BPM
5865,Serge Gainsbourg,Variations sur Marilou,Pop,1976,G,major,7:40,149BPM
5866,Nazareth,Hair of the Dog,Rock,1975,E,major,4:09,129BPM
5867,Carpenters,Goodbye to Love,Pop,1972,F♯/G♭,major,3:54,169BPM
5868,Grateful Dead,Ripple,Rock,1970,G,major,4:10,126BPM
5869,Jacno,Rectangle,Pop,1979,C♯/D♭,minor,3:39,115BPM
5870,Judas Priest,The Ripper,Rock,1976,D,major,2:51,146BPM
5871,Donna Summer & Barbra Streisand,No More Tears (Enough Is Enough),Dance,1979,,,,
5872,Vicki Lawrence,The Night the Lights Went Out in Georgia,Pop,1973,F,minor,3:41,172BPM
5873,Alicia Bridges,I Love the Nightlife (Disco 'Round),Dance,1978,C,major,3:24,125BPM
5874,Linda Ronstadt,When Will I Be Loved,Rock,1974,A,major,2:05,133BPM
5875,Musique,In the Bush,Dance,1978,C,major,8:06,132BPM
5876,Eric Clapton,Let It Grow,Rock,1974,E,major,4:58,78BPM
5877,Bob Dylan,You're a Big Girl Now,Rock,1975,,,,
5878,Led Zeppelin,Dancing Days,Rock,1973,C,major,3:42,117BPM
5879,Rod Stewart,Youre in My Heart (The Final Acclaim),Rock,1977,,,,
5880,AC/DC,Down Payment Blues,Rock,1978,,,,
5881,Iggy Pop,Funtime,Rock,1977,A,major,2:55,131BPM
5882,Queen,Tie Your Mother Down,Rock,1976,D,major,4:47,135BPM
5883,Neil Young,Comes a Time,Rock,1978,C,major,3:06,158BPM
5884,KC and The Sunshine Band,Keep It Comin' Love,Dance,1976,,,,
5885,Southside Johnny & The Asbury Jukes,I Don't Want to Go Home,Rock,1976,,,,
5886,Grateful Dead,Casey Jones,Rock,1970,C,major,4:25,100BPM
5887,Janis Joplin,Move Over,Rock,1971,C,major,3:40,133BPM
5888,Yvonne Elliman,I Don't Know How to Love Him,Rock,1970,,,,
5889,Rose Tattoo,Rock 'n' Roll Outlaw,Rock,1978,E,major,3:21,93BPM
5890,Deep Purple,Burn,Rock,1974,C,major,6:04,98BPM
5891,The Who,Join Together,Rock,1972,A♯/B♭,major,4:24,168BPM
5892,David Bowie,Sweet Thing,Rock,1974,,,,
5893,Bad Company,Rock 'N' Roll Fantasy,Rock,1979,D,major,4:36,114BPM
5894,Morris Albert,Feelings,Pop,1974,E,minor,4:59,75BPM
5895,AC/DC,The Jack,Rock,1975,,,,
5896,The Rolling Stones,Before They Make Me Run,Rock,1978,,,,
5897,The B-52's,52 Girls,Rock,1979,,,,
5898,Lynyrd Skynyrd,What's Your Name,Rock,1977,,,,
5899,Pink Floyd,Fearless,Rock,1971,G,major,6:08,144BPM
5900,Talking Heads,Memories Can't Wait,Rock,1979,,,,
5901,Donna Summer,MacArthur Park,Dance,1978,,,,
5902,Charlie Rich,The Most Beautiful Girl,Pop,1973,G,major,2:42,103BPM
5903,The Bellamy Brothers,Let Your Love Flow,Pop,1975,D♯/E♭,major,3:10,110BPM
5904,Olivia Newton-John,Have You Never Been Mellow,Pop,1975,C,major,3:30,122BPM
5905,Joni Mitchell,Carey,Pop,1971,C♯/D♭,major,3:03,75BPM
5906,UFO,Lights Out,Rock,1977,B,minor,4:30,154BPM
5907,Silver Convention,Get Up and Boogie,Dance,1976,A♯/B♭,minor,7:36,108BPM
5908,Teenage Head,Picture My Face,Rock,1978,E,major,2:59,135BPM
5909,Public Image Ltd.,Memories,Rock,1979,C,major,5:09,141BPM
5910,Pylon,Cool,Rock,1979,C,major,3:20,129BPM
5911,Eric Clapton,Lay Down Sally,Rock,1977,E,minor,3:56,192BPM
5912,Nitty Gritty Dirt Band,Mr. Bojangles,Rock,1970,,,,
5913,Bruce Cockburn,Wondering Where the Lions Are,Pop,1979,A,major,3:48,79BPM
5914,Bryan Ferry,A Hard Rain's A-Gonna Fall,Rock,1973,,,,
5915,The Rolling Stones,Ventilator Blues,Rock,1972,C,major,3:25,133BPM
5916,William Sheller,Rock' N' Dollars,Pop,1975,G,minor,2:30,116BPM
5917,Bob Dylan & The Band,Million Dollar Bash,Rock,1975,,,,
5918,The Fall,Rowche Rumble,Rock,1979,A,major,4:01,161BPM
5919,AC/DC,Problem Child,Rock,1976,,,,
