,artist,song,genres,year,key,mode,duration,bpm
6053,Colin Blunstone,Say You Don't Mind,Pop,1971,,,,
6054,Giorgio Moroder,(Theme From) Midnight Express,Dance,1978,D♯/E♭,major,4:41,78BPM
6055,ZZ Top,"I'm Bad, I'm Nationwide",Rock,1979,,,,
6056,Dashiell Hedayat,Chrysler (Rose),Rock,1971,,,,
6057,The Rezillos,I Can't Stand My Baby,Rock,1977,,,,
6058,The Who,Getting in Tune,Rock,1971,C,major,4:48,140BPM
6059,Creedence Clearwater Revival,Ramble Tamble,Rock,1970,G,major,7:11,104BPM
6060,The Allman Brothers Band,Blue Sky,Rock,1972,E,major,5:09,95BPM
6061,Siouxsie and The Banshees,Metal Postcard,Rock,1978,,,,
6062,Lio,Le Banana Split,Pop,1979,C,major,2:34,156BPM
6063,X-Ray Spex,I'm a Cliché,Rock,1977,,,,
6064,Pink Floyd,Have a Cigar,Rock,1975,E,minor,5:08,120BPM
6065,Yes,Wondrous Stories,Rock,1977,,,,
6066,The Band,Don't Do It,Rock,1972,,,,
6067,Neil Young,Words (Between the Lines of Age),Rock,1972,A,minor,6:47,124BPM
6068,Japan,Adolescent Sex,Rock,1978,A,major,3:44,125BPM
6069,Joe Jackson,It's Different for Girls,Rock,1979,,,,
6070,Germs,Lexicon Devil,Rock,1978,E,minor,1:44,106BPM
6071,Scritti Politti,Shank Bloc Bologna,Rock,1978,,,,
6072,Gary Moore,Parisienne Walkways,Rock,1978,A,minor,3:21,88BPM
6073,Jeff Beck,Freeway Jam,Rock,1975,G,major,4:59,132BPM
6074,The Allman Brothers Band,Melissa,Rock,1972,E,major,3:52,83BPM
6075,Alice Cooper,Welcome to My Nightmare,Rock,1975,B,minor,5:21,112BPM
6076,Graham Parker & The Rumour,Don't Ask Me Questions,Rock,1976,,,,
6077,Ultravox,Hiroshima Mon Amour,Rock,1977,C,major,5:14,139BPM
6078,Humble Pie,I Don't Need No Doctor,Rock,1971,,,,
6079,Gregg Allman,Midnight Rider,Rock,1973,C,major,4:29,87BPM
6080,Gene Clark,Lady of the North,Rock,1974,,,,
